State,County,All,Yes,No
Missouri,St. Louis City,686,103.0,583.0
Missouri,St. Louis County,428,55.0,373.0
Missouri,Ste. Genevieve County,18,2.0,16.0
Missouri,Stone County,18,7.0,11.0
Missouri,Sullivan County,14,9.0,5.0
Missouri,Taney County,81,25.0,56.0
Missouri,Texas County,16,3.0,13.0
Missouri,Vernon County,16,8.0,8.0
Missouri,Warren County,19,,19.0
Missouri,Washington County,2,1.0,1.0
Missouri,Webster County,7,3.0,4.0
Missouri,Wright County,1,,1.0
Nebraska,Adams County,103,59.0,44.0
Nebraska,All,10740,5743.0,4997.0
Nebraska,Antelope County,8,5.0,3.0
Nebraska,Boone County,14,11.0,3.0
Nebraska,Box Butte County,15,8.0,7.0
Nebraska,Buffalo County,214,129.0,85.0
Nebraska,Butler County,32,19.0,13.0
Nebraska,Cass County,76,43.0,33.0
Nebraska,Cedar County,14,9.0,5.0
Nebraska,Chase County,6,2.0,4.0
Nebraska,Cherry County,2,,2.0
Nebraska,Cheyenne County,27,14.0,13.0
Nebraska,Clay County,11,7.0,4.0
Nebraska,Colfax County,18,5.0,13.0
Nebraska,Custer County,15,8.0,7.0
Nebraska,Dakota County,355,216.0,139.0
Nebraska,Dawson County,663,431.0,232.0
Nebraska,Dixon County,44,23.0,21.0
Nebraska,Dodge County,206,51.0,155.0
Nebraska,Douglas County,2995,1490.0,1505.0
Nebraska,Fillmore County,6,4.0,2.0
Nebraska,Frontier County,1,1.0,
Nebraska,Furnas County,9,4.0,5.0
Nebraska,Gage County,19,7.0,12.0
Nebraska,Garden County,6,3.0,3.0
Nebraska,Hall County,1460,926.0,534.0
Nebraska,Hamilton County,16,9.0,7.0
Nebraska,Harlan County,4,3.0,1.0
Nebraska,Holt County,70,45.0,25.0
Nebraska,Howard County,1,,1.0
Nebraska,Johnson County,11,6.0,5.0
Nebraska,Kearney County,9,7.0,2.0
Nebraska,Keith County,39,29.0,10.0
Nebraska,Kimball County,10,8.0,2.0
Nebraska,Knox County,2,,2.0
Nebraska,Lancaster County,1640,771.0,869.0
Nebraska,Lincoln County,128,89.0,39.0
Nebraska,Madison County,238,108.0,130.0
Nebraska,Merrick County,4,,4.0
Nebraska,Nemaha County,2,,2.0
Nebraska,Otoe County,42,21.0,21.0
Nebraska,Phelps County,100,54.0,46.0
Nebraska,Pierce County,32,22.0,10.0
Nebraska,Platte County,812,424.0,388.0
Nebraska,Red Willow County,5,3.0,2.0
Nebraska,Saline County,220,117.0,103.0
Nebraska,Sarpy County,451,228.0,223.0
Nebraska,Saunders County,93,30.0,63.0
Nebraska,Scotts Bluff County,242,143.0,99.0
Nebraska,Seward County,59,29.0,30.0
Nebraska,Thayer County,1,,1.0
Nebraska,Thurston County,117,80.0,37.0
Nebraska,Valley County,13,6.0,7.0
Nebraska,Washington County,15,6.0,9.0
Nebraska,York County,45,30.0,15.0
Nevada,All,22296,15264.0,7032.0
Nevada,Carson City,1452,547.0,905.0
Nevada,Churchill County,24,17.0,7.0
Nevada,Clark County,17055,12351.0,4704.0
Nevada,Douglas County,72,45.0,27.0
Nevada,Elko County,64,39.0,25.0
Nevada,Esmeralda County,14,7.0,7.0
Nevada,Eureka County,1,,1.0
Nevada,Humboldt County,27,18.0,9.0
Nevada,Lander County,10,7.0,3.0
Nevada,Lincoln County,6,4.0,2.0
Nevada,Lyon County,19,14.0,5.0
Nevada,Nye County,108,55.0,53.0
Nevada,Pershing County,254,58.0,196.0
Nevada,Storey County,3,2.0,1.0
Nevada,Washoe County,3038,2070.0,968.0
Nevada,White Pine County,149,30.0,119.0
New Hampshire,All,1301,639.0,662.0
New Hampshire,Belknap County,9,2.0,7.0
New Hampshire,Coos County,86,19.0,67.0
New Hampshire,Hillsborough County,726,470.0,256.0
New Hampshire,Merrimack County,170,58.0,112.0
New Hampshire,Rockingham County,99,48.0,51.0
New Hampshire,Strafford County,211,42.0,169.0
New Jersey,All,30413,19554.0,10859.0
New Jersey,Atlantic County,1010,694.0,316.0
New Jersey,Bergen County,1957,1369.0,588.0
New Jersey,Burlington County,2567,1274.0,1293.0
New Jersey,Camden County,867,543.0,324.0
New Jersey,Cape May County,266,178.0,88.0
New Jersey,Cumberland County,2341,1384.0,957.0
New Jersey,Essex County,2798,1505.0,1293.0
New Jersey,Gloucester County,166,104.0,62.0
New Jersey,Hudson County,3000,1959.0,1041.0
New Jersey,Hunterdon County,566,389.0,177.0
New Jersey,Mercer County,1592,937.0,655.0
New Jersey,Middlesex County,2597,1873.0,724.0
New Jersey,Monmouth County,2203,1641.0,562.0
New Jersey,Morris County,1303,770.0,533.0
New Jersey,Ocean County,2028,1317.0,711.0
New Jersey,Passaic County,2027,1495.0,532.0
New Jersey,Salem County,314,212.0,102.0
New Jersey,Somerset County,931,643.0,288.0
New Jersey,Sussex County,98,56.0,42.0
New Jersey,Union County,1653,1138.0,515.0
New Jersey,Warren County,129,73.0,56.0
New Mexico,All,16362,7709.0,8653.0
New Mexico,Bernalillo County,6008,3275.0,2733.0
New Mexico,Chaves County,354,171.0,183.0
New Mexico,Cibola County,2857,965.0,1892.0
New Mexico,Colfax County,42,16.0,26.0
New Mexico,Curry County,505,211.0,294.0
New Mexico,Dona Ana County,1942,1147.0,795.0
New Mexico,Eddy County,142,62.0,80.0
New Mexico,Grant County,4,1.0,3.0
New Mexico,Guadalupe County,14,4.0,10.0
New Mexico,Hidalgo County,186,105.0,81.0
New Mexico,Lea County,1054,403.0,651.0
New Mexico,Lincoln County,48,32.0,16.0
New Mexico,Los Alamos County,63,25.0,38.0
New Mexico,Luna County,183,83.0,100.0
New Mexico,McKinley County,53,24.0,29.0
New Mexico,Otero County,91,49.0,42.0
New Mexico,Quay County,17,6.0,11.0
New Mexico,Rio Arriba County,207,89.0,118.0
New Mexico,Roosevelt County,68,30.0,38.0
New Mexico,San Juan County,535,253.0,282.0
New Mexico,San Miguel County,60,37.0,23.0
New Mexico,Sandoval County,211,69.0,142.0
New Mexico,Santa Fe County,918,335.0,583.0
New Mexico,Sierra County,4,3.0,1.0
New Mexico,Taos County,116,43.0,73.0
New Mexico,Torrance County,125,56.0,69.0
New Mexico,Valencia County,555,215.0,340.0
New York,Albany County,404,180.0,224.0
New York,All,71454,39799.0,31655.0
New York,Allegany County,32,17.0,15.0
New York,Bronx County,1261,308.0,953.0
New York,Broome County,83,46.0,37.0
New York,Cattaraugus County,268,165.0,103.0
New York,Cayuga County,181,81.0,100.0
New York,Chautauqua County,847,605.0,242.0
New York,Chemung County,160,46.0,114.0
New York,Chenango County,5,2.0,3.0
New York,Clinton County,403,143.0,260.0
New York,Columbia County,36,20.0,16.0
New York,Cortland County,6,3.0,3.0
New York,Delaware County,18,11.0,7.0
New York,Dutchess County,2047,895.0,1152.0
New York,Erie County,413,130.0,283.0
New York,Essex County,881,448.0,433.0
New York,Franklin County,842,459.0,383.0
New York,Fulton County,42,25.0,17.0
New York,Genesee County,154,66.0,88.0
New York,Greene County,643,390.0,253.0
New York,Hamilton County,2,1.0,1.0
New York,Herkimer County,9,4.0,5.0
New York,Jefferson County,496,324.0,172.0
New York,Kings County,9335,2548.0,6787.0
New York,Lewis County,2,1.0,1.0
New York,Livingston County,210,124.0,86.0
New York,Madison County,16,8.0,8.0
New York,Monroe County,242,67.0,175.0
New York,Montgomery County,29,14.0,15.0
New York,Nassau County,6093,3906.0,2187.0
New York,New York County,1396,350.0,1046.0
New York,Niagara County,46,15.0,31.0
New York,Oneida County,955,599.0,356.0
New York,Onondaga County,158,57.0,101.0
New York,Ontario County,65,32.0,33.0
New York,Orange County,2052,1255.0,797.0
New York,Orleans County,312,181.0,131.0
New York,Oswego County,21,11.0,10.0
New York,Otsego County,10,7.0,3.0
New York,Putnam County,635,450.0,185.0
New York,Queens County,24874,15325.0,9549.0
New York,Rensselaer County,56,26.0,30.0
New York,Richmond County,192,81.0,111.0
New York,Rockland County,1221,905.0,316.0
New York,Saratoga County,118,89.0,29.0
New York,Schenectady County,61,31.0,30.0
New York,Schoharie County,7,4.0,3.0
New York,Schuyler County,7,3.0,4.0
New York,Seneca County,292,108.0,184.0
New York,St. Lawrence County,821,524.0,297.0
New York,Steuben County,22,11.0,11.0
New York,Suffolk County,6312,4268.0,2044.0
New York,Sullivan County,220,139.0,81.0
New York,Ulster County,1522,802.0,720.0
New York,Warren County,40,13.0,27.0
New York,Washington County,275,133.0,142.0
New York,Wayne County,73,43.0,30.0
New York,Westchester County,4229,3136.0,1093.0
New York,Wyoming County,298,162.0,136.0
New York,Yates County,4,2.0,2.0
North Carolina,Alamance County,1585,1245.0,340.0
North Carolina,Alexander County,38,20.0,18.0
North Carolina,All,45941,28730.0,17211.0
North Carolina,Alleghany County,113,58.0,55.0
North Carolina,Anson County,10,4.0,6.0
North Carolina,Ashe County,61,27.0,34.0
North Carolina,Avery County,60,31.0,29.0
North Carolina,Beaufort County,71,21.0,50.0
North Carolina,Bertie County,9,4.0,5.0
North Carolina,Bladen County,179,95.0,84.0
North Carolina,Brunswick County,278,125.0,153.0
North Carolina,Buncombe County,322,117.0,205.0
North Carolina,Burke County,81,39.0,42.0
North Carolina,Cabarrus County,130,62.0,68.0
North Carolina,Caldwell County,199,85.0,114.0
North Carolina,Carteret County,66,38.0,28.0
North Carolina,Caswell County,17,2.0,15.0
North Carolina,Catawba County,536,253.0,283.0
North Carolina,Chatham County,132,55.0,77.0
North Carolina,Cherokee County,29,15.0,14.0
North Carolina,Chowan County,3,1.0,2.0
North Carolina,Clay County,28,13.0,15.0
North Carolina,Cleveland County,65,15.0,50.0
North Carolina,Columbus County,151,79.0,72.0
North Carolina,Craven County,34,11.0,23.0
North Carolina,Cumberland County,208,72.0,136.0
North Carolina,Currituck County,11,6.0,5.0
North Carolina,Dare County,136,54.0,82.0
North Carolina,Davidson County,176,67.0,109.0
North Carolina,Davie County,117,62.0,55.0
North Carolina,Duplin County,362,155.0,207.0
North Carolina,Durham County,1167,484.0,683.0
North Carolina,Edgecombe County,22,12.0,10.0
North Carolina,Forsyth County,1640,868.0,772.0
North Carolina,Franklin County,30,9.0,21.0
North Carolina,Gaston County,1651,1241.0,410.0
North Carolina,Graham County,6,2.0,4.0
North Carolina,Granville County,1138,663.0,475.0
North Carolina,Greene County,50,20.0,30.0
North Carolina,Guilford County,827,279.0,548.0
North Carolina,Halifax County,13,7.0,6.0
North Carolina,Harnett County,258,113.0,145.0
North Carolina,Haywood County,76,35.0,41.0
North Carolina,Henderson County,1057,749.0,308.0
North Carolina,Hertford County,2237,1420.0,817.0
North Carolina,Hoke County,238,107.0,131.0
North Carolina,Iredell County,424,178.0,246.0
North Carolina,Jackson County,117,59.0,58.0
North Carolina,Johnston County,566,296.0,270.0
North Carolina,Jones County,20,9.0,11.0
North Carolina,Lee County,247,95.0,152.0
North Carolina,Lenoir County,170,53.0,117.0
North Carolina,Lincoln County,112,55.0,57.0
North Carolina,Macon County,127,59.0,68.0
North Carolina,Madison County,9,7.0,2.0
North Carolina,Martin County,44,28.0,16.0
North Carolina,McDowell County,74,26.0,48.0
North Carolina,Mecklenburg County,10275,7970.0,2305.0
North Carolina,Mitchell County,5,3.0,2.0
North Carolina,Montgomery County,70,26.0,44.0
North Carolina,Moore County,88,54.0,34.0
North Carolina,Nash County,170,65.0,105.0
North Carolina,New Hanover County,748,303.0,445.0
North Carolina,Northampton County,5,1.0,4.0
North Carolina,Onslow County,197,86.0,111.0
North Carolina,Orange County,407,218.0,189.0
North Carolina,Pamlico County,7,1.0,6.0
North Carolina,Pasquotank County,39,21.0,18.0
North Carolina,Pender County,61,33.0,28.0
North Carolina,Person County,53,25.0,28.0
North Carolina,Pitt County,451,166.0,285.0
North Carolina,Polk County,82,38.0,44.0
North Carolina,Randolph County,354,216.0,138.0
North Carolina,Richmond County,61,33.0,28.0
North Carolina,Robeson County,546,269.0,277.0
North Carolina,Rockingham County,292,116.0,176.0
North Carolina,Rowan County,248,107.0,141.0
North Carolina,Rutherford County,141,52.0,89.0
North Carolina,Sampson County,244,96.0,148.0
North Carolina,Scotland County,27,13.0,14.0
North Carolina,Stanly County,48,24.0,24.0
North Carolina,Stokes County,12,3.0,9.0
North Carolina,Surry County,248,121.0,127.0
North Carolina,Swain County,38,18.0,20.0
North Carolina,Transylvania County,57,23.0,34.0
North Carolina,Tyrrell County,2,,2.0
North Carolina,Union County,1176,731.0,445.0
North Carolina,Vance County,37,11.0,26.0
North Carolina,Wake County,11764,7955.0,3809.0
North Carolina,Warren County,7,3.0,4.0
North Carolina,Washington County,61,45.0,16.0
North Carolina,Watauga County,60,26.0,34.0
North Carolina,Wayne County,60,23.0,37.0
North Carolina,Wilkes County,27,13.0,14.0
North Carolina,Wilson County,116,42.0,74.0
North Carolina,Yadkin County,105,67.0,38.0
North Carolina,Yancey County,25,8.0,17.0
North Dakota,All,638,379.0,259.0
North Dakota,Barnes County,17,11.0,6.0
North Dakota,Bottineau County,1,,1.0
North Dakota,Burleigh County,88,52.0,36.0
North Dakota,Cass County,260,162.0,98.0
North Dakota,Grand Forks County,55,29.0,26.0
North Dakota,Hettinger County,1,1.0,
North Dakota,McKenzie County,2,2.0,
North Dakota,Mercer County,4,3.0,1.0
North Dakota,Morton County,31,9.0,22.0
North Dakota,Mountrail County,5,3.0,2.0
North Dakota,Pembina County,1,,1.0
North Dakota,Pierce County,3,3.0,
North Dakota,Ramsey County,12,10.0,2.0
North Dakota,Richland County,13,8.0,5.0
North Dakota,Stark County,27,17.0,10.0
North Dakota,Stutsman County,13,6.0,7.0
North Dakota,Traill County,17,5.0,12.0
North Dakota,Walsh County,5,4.0,1.0
North Dakota,Ward County,49,32.0,17.0
North Dakota,Williams County,34,22.0,12.0
Northern Mariana Islands,All,192,30.0,162.0
Northern Mariana Islands,Mariana County,192,30.0,162.0
Not Listed,All,138520,75585.0,62935.0
Not Listed,Unknown County,138520,75585.0,62935.0
Ohio,Adams County,21,14.0,7.0
Ohio,All,26079,14467.0,11612.0
Ohio,Allen County,108,81.0,27.0
Ohio,Ashland County,23,6.0,17.0
Ohio,Ashtabula County,31,11.0,20.0
Ohio,Athens County,77,53.0,24.0
Ohio,Auglaize County,23,14.0,9.0
Ohio,Belmont County,61,21.0,40.0
Ohio,Brown County,37,26.0,11.0
Ohio,Butler County,1380,935.0,445.0
Ohio,Carroll County,14,4.0,10.0
Ohio,Champaign County,255,150.0,105.0
Ohio,Clark County,588,320.0,268.0
Ohio,Clermont County,178,109.0,69.0
Ohio,Clinton County,85,52.0,33.0
Ohio,Columbiana County,471,109.0,362.0
Ohio,Coshocton County,2,1.0,1.0
Ohio,Crawford County,41,20.0,21.0
Ohio,Cuyahoga County,855,339.0,516.0
Ohio,Darke County,68,51.0,17.0
Ohio,Defiance County,18,9.0,9.0
Ohio,Delaware County,449,203.0,246.0
Ohio,Erie County,24,14.0,10.0
Ohio,Fairfield County,166,102.0,64.0
Ohio,Fayette County,116,82.0,34.0
Ohio,Franklin County,7445,3801.0,3644.0
Ohio,Geauga County,40,19.0,21.0
Ohio,Greene County,91,57.0,34.0
Ohio,Guernsey County,37,29.0,8.0
Ohio,Hamilton County,2422,1552.0,870.0
Ohio,Hancock County,94,48.0,46.0
Ohio,Huron County,184,92.0,92.0
Ohio,Jefferson County,11,6.0,5.0
Ohio,Knox County,2,1.0,1.0
Ohio,Lake County,328,152.0,176.0
Ohio,Lawrence County,19,13.0,6.0
Ohio,Licking County,151,73.0,78.0
Ohio,Logan County,2,2.0,
Ohio,Lorain County,197,61.0,136.0
Ohio,Lucas County,124,54.0,70.0
Ohio,Madison County,53,30.0,23.0
Ohio,Mahoning County,4823,2992.0,1831.0
Ohio,Marion County,210,151.0,59.0
Ohio,Medina County,74,33.0,41.0
Ohio,Meigs County,4,,4.0
Ohio,Mercer County,26,17.0,9.0
Ohio,Miami County,270,160.0,110.0
Ohio,Monroe County,17,8.0,9.0
Ohio,Montgomery County,1159,670.0,489.0
Ohio,Morgan County,2,,2.0
Ohio,Morrow County,51,20.0,31.0
Ohio,Muskingum County,55,34.0,21.0
Ohio,Noble County,43,23.0,20.0
Ohio,Paulding County,11,6.0,5.0
Ohio,Perry County,1,,1.0
Ohio,Pickaway County,925,460.0,465.0
Ohio,Pike County,1,1.0,
Ohio,Portage County,51,22.0,29.0
Ohio,Putnam County,48,37.0,11.0
Ohio,Richland County,78,35.0,43.0
Ohio,Ross County,59,25.0,34.0
Ohio,Sandusky County,60,35.0,25.0
Ohio,Scioto County,82,53.0,29.0
Ohio,Seneca County,71,41.0,30.0
Ohio,Shelby County,84,50.0,34.0
Ohio,Stark County,285,131.0,154.0
Ohio,Summit County,170,78.0,92.0
Ohio,Trumbull County,89,54.0,35.0
Ohio,Tuscarawas County,209,121.0,88.0
Ohio,Union County,38,12.0,26.0
Ohio,Van Wert County,4,4.0,
Ohio,Vinton County,2,2.0,
Ohio,Warren County,358,222.0,136.0
Ohio,Washington County,21,12.0,9.0
Ohio,Wayne County,144,85.0,59.0
Ohio,Williams County,153,103.0,50.0
Ohio,Wood County,67,31.0,36.0
Ohio,Wyandot County,43,23.0,20.0
Oklahoma,Adair County,39,1.0,38.0
Oklahoma,Alfalfa County,14,4.0,10.0
Oklahoma,All,20214,10513.0,9701.0
Oklahoma,Atoka County,29,9.0,20.0
Oklahoma,Beaver County,54,9.0,45.0
Oklahoma,Beckham County,98,10.0,88.0
Oklahoma,Blaine County,4,1.0,3.0
Oklahoma,Bryan County,61,24.0,37.0
Oklahoma,Caddo County,215,70.0,145.0
Oklahoma,Canadian County,289,90.0,199.0
Oklahoma,Carter County,208,101.0,107.0
Oklahoma,Cherokee County,129,1.0,128.0
Oklahoma,Cimarron County,3,1.0,2.0
Oklahoma,Cleveland County,1298,456.0,842.0
Oklahoma,Comanche County,172,70.0,102.0
Oklahoma,Cotton County,83,42.0,41.0
Oklahoma,Craig County,32,6.0,26.0
Oklahoma,Creek County,48,1.0,47.0
Oklahoma,Custer County,43,13.0,30.0
Oklahoma,Delaware County,24,,24.0
Oklahoma,Dewey County,5,1.0,4.0
Oklahoma,Ellis County,12,5.0,7.0
Oklahoma,Garfield County,337,70.0,267.0
Oklahoma,Garvin County,181,107.0,74.0
Oklahoma,Grady County,158,52.0,106.0
Oklahoma,Greer County,16,7.0,9.0
Oklahoma,Harper County,10,,10.0
Oklahoma,Haskell County,30,7.0,23.0
Oklahoma,Hughes County,5,,5.0
Oklahoma,Jackson County,40,12.0,28.0
Oklahoma,Jefferson County,4,3.0,1.0
Oklahoma,Kay County,60,3.0,57.0
Oklahoma,Kingfisher County,10,,10.0
Oklahoma,Latimer County,6,3.0,3.0
Oklahoma,Le Flore County,124,22.0,102.0
Oklahoma,Lincoln County,1,,1.0
Oklahoma,Logan County,72,2.0,70.0
Oklahoma,Love County,24,13.0,11.0
Oklahoma,Marshall County,9,3.0,6.0
Oklahoma,Mayes County,9,,9.0
Oklahoma,McClain County,79,31.0,48.0
Oklahoma,McCurtain County,20,8.0,12.0
Oklahoma,Muskogee County,297,63.0,234.0
Oklahoma,Noble County,16,,16.0
Oklahoma,Okfuskee County,18,7.0,11.0
Oklahoma,Oklahoma County,7758,3553.0,4205.0
Oklahoma,Okmulgee County,6,,6.0
Oklahoma,Osage County,36,9.0,27.0
Oklahoma,Ottawa County,15,1.0,14.0
Oklahoma,Payne County,142,37.0,105.0
Oklahoma,Pittsburg County,54,15.0,39.0
Oklahoma,Pottawatomie County,77,30.0,47.0
Oklahoma,Rogers County,22,,22.0
Oklahoma,Seminole County,8,3.0,5.0
Oklahoma,Sequoyah County,7,,7.0
Oklahoma,Stephens County,54,7.0,47.0
Oklahoma,Texas County,131,31.0,100.0
Oklahoma,Tillman County,7,1.0,6.0
Oklahoma,Tulsa County,7326,5457.0,1869.0
Oklahoma,Wagoner County,36,,36.0
Oklahoma,Washington County,21,,21.0
Oklahoma,Woods County,16,5.0,11.0
Oklahoma,Woodward County,112,36.0,76.0
Oregon,All,26069,19813.0,6256.0
Oregon,Baker County,33,24.0,9.0
Oregon,Benton County,72,51.0,21.0
Oregon,Clackamas County,2660,1949.0,711.0
Oregon,Clatsop County,113,96.0,17.0
Oregon,Columbia County,123,34.0,89.0
Oregon,Coos County,114,99.0,15.0
Oregon,Crook County,17,13.0,4.0
Oregon,Curry County,47,32.0,15.0
Oregon,Deschutes County,581,490.0,91.0
Oregon,Douglas County,294,233.0,61.0
Oregon,Grant County,21,12.0,9.0
Oregon,Harney County,22,14.0,8.0
Oregon,Hood River County,3,2.0,1.0
Oregon,Jackson County,926,719.0,207.0
Oregon,Jefferson County,359,274.0,85.0
Oregon,Josephine County,105,63.0,42.0
Oregon,Klamath County,376,323.0,53.0
Oregon,Lake County,60,37.0,23.0
Oregon,Lane County,550,357.0,193.0
Oregon,Lincoln County,259,226.0,33.0
Oregon,Linn County,402,337.0,65.0
Oregon,Malheur County,512,340.0,172.0
Oregon,Marion County,5111,4160.0,951.0
Oregon,Multnomah County,3759,2402.0,1357.0
Oregon,Polk County,279,219.0,60.0
Oregon,Tillamook County,163,133.0,30.0
Oregon,Umatilla County,1287,1055.0,232.0
Oregon,Union County,32,21.0,11.0
Oregon,Wasco County,832,697.0,135.0
Oregon,Washington County,4821,4202.0,619.0
Oregon,Yamhill County,2136,1199.0,937.0
Pennsylvania,Adams County,391,239.0,152.0
Pennsylvania,All,36906,16936.0,19970.0
Pennsylvania,Allegheny County,432,132.0,300.0
Pennsylvania,Bedford County,17,11.0,6.0
Pennsylvania,Berks County,684,497.0,187.0
Pennsylvania,Blair County,14,4.0,10.0
Pennsylvania,Bradford County,46,28.0,18.0
Pennsylvania,Bucks County,1065,780.0,285.0
Pennsylvania,Butler County,26,13.0,13.0
Pennsylvania,Cambria County,513,155.0,358.0
Pennsylvania,Carbon County,13,7.0,6.0
Pennsylvania,Centre County,8787,4150.0,4637.0
Pennsylvania,Chester County,1395,1081.0,314.0
Pennsylvania,Clarion County,1,,1.0
Pennsylvania,Clearfield County,67,29.0,38.0
Pennsylvania,Clinton County,94,37.0,57.0
Pennsylvania,Columbia County,53,25.0,28.0
Pennsylvania,Crawford County,13,4.0,9.0
Pennsylvania,Cumberland County,1379,410.0,969.0
Pennsylvania,Dauphin County,397,242.0,155.0
Pennsylvania,Delaware County,603,384.0,219.0
Pennsylvania,Elk County,5,3.0,2.0
Pennsylvania,Erie County,105,35.0,70.0
Pennsylvania,Fayette County,63,10.0,53.0
Pennsylvania,Forest County,62,14.0,48.0
Pennsylvania,Franklin County,387,301.0,86.0
Pennsylvania,Greene County,26,4.0,22.0
Pennsylvania,Huntingdon County,67,19.0,48.0
Pennsylvania,Indiana County,34,17.0,17.0
Pennsylvania,Jefferson County,2,,2.0
Pennsylvania,Juniata County,4,4.0,
Pennsylvania,Lackawanna County,618,284.0,334.0
Pennsylvania,Lancaster County,248,154.0,94.0
Pennsylvania,Lawrence County,15,6.0,9.0
Pennsylvania,Lebanon County,93,68.0,25.0
Pennsylvania,Lehigh County,460,281.0,179.0
Pennsylvania,Luzerne County,422,219.0,203.0
Pennsylvania,Lycoming County,87,37.0,50.0
Pennsylvania,McKean County,1371,559.0,812.0
Pennsylvania,Mercer County,49,25.0,24.0
Pennsylvania,Mifflin County,17,8.0,9.0
Pennsylvania,Monroe County,260,132.0,128.0
Pennsylvania,Montgomery County,1774,1261.0,513.0
Pennsylvania,Montour County,1,1.0,
Pennsylvania,Northampton County,277,163.0,114.0
Pennsylvania,Northumberland County,84,34.0,50.0
Pennsylvania,Perry County,22,11.0,11.0
Pennsylvania,Philadelphia County,4591,2961.0,1630.0
Pennsylvania,Pike County,94,37.0,57.0
Pennsylvania,Potter County,3,1.0,2.0
Pennsylvania,Schuylkill County,952,284.0,668.0
Pennsylvania,Snyder County,15,4.0,11.0
Pennsylvania,Somerset County,128,42.0,86.0
Pennsylvania,Susquehanna County,35,22.0,13.0
Pennsylvania,Tioga County,4,3.0,1.0
Pennsylvania,Union County,6527,1012.0,5515.0
Pennsylvania,Warren County,4,,4.0
Pennsylvania,Washington County,23,10.0,13.0
Pennsylvania,Wayne County,1155,291.0,864.0
Pennsylvania,Westmoreland County,77,29.0,48.0
Pennsylvania,Wyoming County,8,5.0,3.0
Pennsylvania,York County,747,357.0,390.0
Puerto Rico,Aguadillo County,24,13.0,11.0
Puerto Rico,All,1582,838.0,744.0
Puerto Rico,Arecibo County,35,28.0,7.0
Puerto Rico,Cidra County,491,386.0,105.0
Puerto Rico,Guayama County,20,11.0,9.0
Puerto Rico,Guaynabo County,96,54.0,42.0
Puerto Rico,Ponce County,89,53.0,36.0
Puerto Rico,Rio Grande County,11,10.0,1.0
Puerto Rico,San Juan County,785,262.0,523.0
Puerto Rico,Vega Alta County,31,21.0,10.0
Rhode Island,All,2296,355.0,1941.0
Rhode Island,Providence County,2296,355.0,1941.0
South Carolina,Abbeville County,28,3.0,25.0
South Carolina,Aiken County,382,205.0,177.0
South Carolina,All,16990,8788.0,8202.0
South Carolina,Allendale County,32,22.0,10.0
